,cnpj,collected
Pomifrutas S.A.,86.550.951/0001-50,X
Cargill Agricola S.A.,60.498.706/0001-57,X
Agro Pastoril Paschoal Campanelli S.A.,48.713.903/0001-46,X
Granjas 4 Irmaos S.A. Agropecuaria. Industria e Comercio,92.193.135/0001-39,unavailable
Arauco Florestal Arapoti S.A.,07.609.453/0001-69,X
Somai Nordeste S.A.,22.673.347/0001-38,X
Reflorestadores Unidos S.A.,88.647.896/0001-46,X
Comfloresta Companhia Catarinense de Empreendimentos Florestais ,84.721.224/0001-82,X
Mobasa Reflorestamento S.A.,44.021.145/0001-44,X
Ipanema Agricola S.A.,42.135.913/0001-65,X
Fazendas Reunidas Pilon S.A.,52.310.885/0001-29,X
ABC Agricultura e Pecuaria S.A. - ABC A&P,19.929.074/0001-35,X
Sorel - Sociedade Reflorestadora S.A.,16.861.783/0001-38,X
Agricola Fraiburgo S.A.,86.548.724/0001-90,X
Arrossensal Agropecuaria e Industrial S.A.,03.580.446/0001-20,X
PomiFrai Fruticultura S.A.,86.548.815/0001-25,X
Agropecuaria Rossato S.A.,76.987.544/0001-50,X
Mutum Agropecuaria S.A.,03.580.479/0001-70,X
S.A. Agro Industrial Eldorado,61.288.874/0001-80,X
Finobrasa Agroindustrial S.A.,10.498.764/0001-02,X
Habitasul Florestal S.A.,90.189.960/0001-34,X
Bagisa S.A. Agropecuaria e Comercio,15.194.889/0001-62,X
Caliman Agricola S.A.,39.267.901/0001-80,X
Agro Industrial Lazzeri S.A.,88.978.606/0001-47,X
Agropecuaria Jubran S.A.,45.165.594/0001-29,X
Capebi Companhia Agroindustrial,15.134.018/0001-53,X
F. Slaviero & Filhos S.A. Industria e Comercio de Madeiras,80.217.185/0001-20,X
Tanagro S.A.,89.387.864/0001-11,X
Companhia Agropecuaria Monte Alegre,19.053.206/0001-08,X
Uniao de Fazendas Agroindustrias S.A.,03.934.226/0001-58,X
Sococo S.A. Agroindustrias da Amazonia,05.832.555/0001-13,X
Agroveneto S.A. - Industria de Alimentos,01.153.928/0001-79,X
Duratex Florestal Ltda.,43.059.559/0001-08,X
Companhia de Alimentos do Nordeste - Cialne,07.220.874/0001-01,X
Vibra Agroindustrial S.A.,93.586.303/0001-19,X
Agropalma S.A.,04.102.265/0001-51,X
Organizacoes Francap S.A.,19.498.344/0001-09,X
Globosuinos Agropecuaria S.A.,02.489.004/0001-00,X
Cascaju Agroindustrial S.A.,07.092.232/0001-66,X
Companhia Melhoramentos Norte do Parana,61.082.962/0001-21,X
Foz do Mogi Agricola S.A.,52.615.861/0001-88,X
Companhia Industrial de Oleos do Nordeste,07.199.490/0001-46,X
Marquesa S.A.,46.886.040/0001-83,X
Plantar S.A. Planejamento. Tecnica e Administracao de Reflorestamentos,17.227.414/0001-50,unavailable
Agricola Xingu S.A.,07.205.440/0001-24,X
Regina Alimentos S.A.,11.665.114/0001-77,X
Barra do Cravari Agroflorestal S.A.,04.527.481/0001-49,X
G5 Agropecuaria Ltda.,20.180.261/0001-48,X
Strobel S.A. - Agricultura e Pecuaria,00.417.158/0001-61,X
IBF Agropecuaria S.A.,03.938.016/0001-38,X
Peterfrut Agricola S.A.,07.844.788/0001-61,X
Granja Bretanhas S.A.,88.414.321/0001-83,X
Agrimex - Agro Industrial Mercantil Excelsior S.A.,28.142.800/0001-66,X
Empresa Agricola Folhados S.A.,17.839.630/0001-57,X
Agropecuaria Canoa Mirim S.A.,03.969.195/0001-70,X
GTW Agronegocios S.A.,10.751.371/0001-69,X
Granja Mangueira Agropecuaria S.A.,96.013.693/0001-26,X
Java Empresa Agricola S.A.,53.257.796/0001-29,X
Maubisa Agricultura S.A.,60.140.084/0001-90,X
Caiua Participacoes em Agronegocios Ltda.,61.083.002/0001-86,unavailable
Andre Maggi Participacoes S.A.,04.786.144/0001-76,X
AgroSB Agropecuaria S.A. ,07.336.695/0001-26,X
Sierentz Agro Brasil S.A.,07.634.590/0001-53,unavailable
Fazenda Tres Rios S.A.,94.410.040/0001-55,X
Bartira Agropecuaria S.A.,20.090.981/0001-12,X
SLC Agricola S.A.,89.096.457/0001-55,X
Jose Salomao Gibran Agropecuaria S.A.,58.177.205/0001-27,X
A.N. Agropecuaria S.A.,35.901.693/0001-78,X
Companhia do Vale do Araguaia,07.417.524/0001-21,X
Rasip Agro Pastoril S.A.,94.789.468/0001-50,unavailable
Louis Dreyfus Company Brasil S.A.,47.067.525/0001-08,X
Maeda S.A. Agroindustrial,57.069.007/0001-87,X
Agropastoril Vila Real S.A.,14.800.528/0001-50,unavailable
Granjas Sao Jose S.A.,07.591.258/0001-59,X
Pinvest Pinheirais Gauchos e Investimentos S.A.,92.998.590/0001-01,X
Pavesa - Pecuaria Pastos Verdes S.A.,11.623.162/0001-00,X
Aperam BioEnergia Ltda.,18.238.980/0001-20,X
Umbu Agropastoril S.A.,05.499.441/0001-01,X
Nova America Agricola Caarapo Ltda.,09.538.958/0001-05,X
Agroterenas S.A. Citrus,65.023.467/0001-00,unavailable
Tramonto Agroindustrial S.A.,07.777.771/0001-39,X
Brasilagro - Companhia Brasileira de Propriedades Agricolas,07.628.528/0001-59,X
Araucaria Participacoes S.A.,03.616.277/0001-31,X
Pothencia S.A. - Reflorestadora,11.306.912/0001-02,X
RRB Empreendimentos e Participacoes S.A. ,04.727.938/0001-69,X
